"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"BOOT1,RST1";"YTS-A016-X";2;"YTS-A016-X";;;
2;"LED1";"LED_0603_KA";1;"LED/Green/0603";;;
3;"MH1,MH2";"Mounting_Hole_Drill-2.1mm_Clerance-4mm";2;"Drill-2.1mm_Clerance-4mm";;;
4;"CHARGE1";"LED_0603_KA";1;"LED/Yellow/0603";;;
5;"BAT1";"LIPO_BAT_VERTICAL_DW02S";1;"DW02S";;;
6;"R6,R7";"R_0402_5MIL_DWS";2;"33R/R0402";;;
7;"C13,C14";"C_0402_5MIL_DWS";2;"NA(100nF/10V/20%/X5R/C0402)";;;
8;"FID3,FID4";"Fiducial1x3_Paste";2;"Fiducial";;;
9;"R2,R5,R1,R3";"R_0402_5MIL_DWS";4;"5.1k/1%/R0402";;;
10;"U3";"ESP32-C5-WROOM-1-N4-UNIVERSAL_MODULE";1;"ESP32-C5-WROOM-1-N8R4";;;
11;"UEXT1";"GBH-254-SMT-10";1;"P-B-V-10-LF";;;
12;"R27,R8,R11,R22";"R_0402_5MIL_DWS";4;"2.2k/R0402";;;
13;"TVS4,TVS2,TVS1,TVS3";"D_0402_5MIL_DWS";4;"GG0402052R542P";;;
14;"USB-UART1,USB-PGM1";"USB2.0_TYPE-C(A40-00119-A52-12)_Paste";2;"USB-C-16P-F(A40-00119-A52-12)";;;
15;"C6,C5";"C_0402_5MIL_DWS";2;"NA(150pF/50V/2%/NP0/C0402)";;;
16;"FID1,FID2,FID5,FID6";"Fiducial1x3";4;"Fiducial";;;
17;"R18,R17,R24";"R_0402_5MIL_DWS";3;"470k/R0402";;;
18;"R10,R9,R4,R13,R12";"R_0402_5MIL_DWS";5;"10k/R0402";;;
19;"D3,D2,D1";"SMA-KA";3;"1N5822/SS34/SMA";;;
20;"C11,C8,C3";"C_0402_5MIL_DWS";3;"100nF/10V/20%/X5R/C0402";;;
21;"D7,D5,D6,D4";"SOD-123_1C-2A_KA";4;"1N5819S4(SOD-123)";;;
22;"U2";"MSOP-10_Pitch-0.5mm_3.00x3.00x1.00mm";1;"CH340X(MSOP-10)";;;
23;"R19,R20";"R_0402_5MIL_DWS";2;"1k/R0402";;;
24;"R16";"R_0402_5MIL_DWS";1;"4.7k/R0402";;;
25;"PWR_SENS_E1,BAT_SENS_E1,BAT_PWR_E1";"SJ_1_SMALLER";3;"Opened";;;
26;"T2,T1";"SOT23";2;"BC817-40(SOT23)";;;
27;"R21,R14";"R_0402_5MIL_DWS";2;"0R/R0402";;;
28;"U1";"SOT-23-5";1;"TP4054-42-SOT25-R";;;
29;"C7,C12,C10,C2,C1";"C_0402_5MIL_DWS";5;"10uF/6.3V/20%/X5R/C0402";;;
30;"C9";"C_0402_5MIL_DWS";1;"NA(10uF/6.3V/20%/X5R/C0402)";;;
31;"R25";"R_0402_5MIL_DWS";1;"220R/R0402";;;
32;"C4";"C_0402_5MIL_DWS";1;"1uF/6.3V/10%/X5R/C0402";;;
33;"EXT1,EXT2";"HN1x16";2;"HN1x16";;;
34;"VR1";"SOT89-3";1;"WL9005P3-33(SOT89-3)";;;
35;"R23";"R_0402_5MIL_DWS";1;"220k/R0402";;;
36;"R15";"R_0402_5MIL_DWS";1;"NA(0R/R0402)";;;
37;"R26";"R_0402_5MIL_DWS";1;"NA(10k/R0402)";;;
38;"FET1";"SOT23";1;"IRLML6402TRPbF";;;
